dteday,season,holiday,weekday,workingday,yr,month,casual,registered,cnt,instant
2016-03-31,2,0,3,1,0,3,2,16,18,1
2016-03-30,2,0,2,1,0,3,1,16,17,2
2016-03-29,2,0,1,1,0,3,1,23,24,3
2016-03-28,2,0,0,0,0,3,1,76,77,4
2016-03-27,2,0,6,0,0,3,2,85,87,5
2016-03-26,2,0,5,1,0,3,1,105,106,6
2016-03-25,2,0,4,1,0,3,3,103,106,7
2016-03-24,2,0,3,1,0,3,5,66,71,8
2016-03-23,2,0,2,1,0,3,0,38,38,9
2016-03-22,2,0,1,1,0,3,0,19,19,10
2016-03-21,2,0,0,0,0,3,0,46,46,11
2016-03-20,2,0,6,0,0,3,0,37,37,12
2016-03-19,2,0,5,1,0,3,0,47,47,13
2016-03-18,1,0,4,1,0,3,1,105,106,14
2016-03-17,1,0,3,1,0,3,4,90,94,15
2016-03-16,1,0,2,1,0,3,4,40,44,16
2016-03-15,1,0,1,1,0,3,0,15,15,17
2016-03-14,1,0,0,0,0,3,0,37,37,18
2016-03-13,1,0,6,0,0,3,0,58,58,19
2016-03-12,1,0,5,1,0,3,0,50,50,20
2016-03-11,1,0,4,1,0,3,1,72,73,21
2016-03-10,1,0,3,1,0,3,1,91,92,22
2016-03-09,1,0,2,1,0,3,1,42,43,23
2016-03-08,1,0,1,1,0,3,0,37,37,24
2016-03-07,1,0,0,0,0,3,9,71,80,25
2016-03-06,1,0,6,0,0,3,2,94,96,26
2016-03-05,1,0,5,1,0,3,1,69,70,27
2016-03-04,1,0,4,1,0,3,0,98,98,28
2016-03-03,1,0,3,1,0,3,4,88,92,29
2016-03-02,1,0,2,1,0,3,13,66,79,30
2016-03-01,1,0,1,1,0,3,5,39,44,31
2016-02-29,1,0,0,0,0,2,11,109,120,32
2016-02-28,1,0,6,0,0,2,0,61,61,33
2016-02-27,1,0,5,1,0,2,2,77,79,34
2016-02-26,1,0,4,1,0,2,1,97,98,35
2016-02-25,1,0,3,1,0,2,4,83,87,36
2016-02-24,1,0,2,1,0,2,14,60,74,37
2016-02-23,1,0,1,1,0,2,6,57,63,38
2016-02-22,1,0,0,0,0,2,1,75,76,39
2016-02-21,1,0,6,0,0,2,1,65,66,40
2016-02-20,1,0,5,1,0,2,1,51,52,41
2016-02-19,1,0,4,1,0,2,1,65,66,42
2016-02-18,1,0,3,1,0,2,3,64,67,43
2016-02-17,1,0,2,1,0,2,0,27,27,44
2016-02-16,1,0,1,1,0,2,0,14,14,45
2016-02-15,1,1,0,0,0,2,3,43,46,46
2016-02-14,1,0,6,0,0,2,2,72,74,47
2016-02-13,1,0,5,1,0,2,1,94,95,48
2016-02-12,1,0,4,1,0,2,4,102,106,49
2016-02-11,1,0,3,1,0,2,4,107,111,50
2016-02-10,1,0,2,1,0,2,68,100,168,51
2016-02-09,1,0,1,1,0,2,7,49,56,52
2016-02-08,1,0,0,0,0,2,3,96,99,53
2016-02-07,1,0,6,0,0,2,1,98,99,54
2016-02-06,1,0,5,1,0,2,0,53,53,55
2016-02-05,1,0,4,1,0,2,1,99,100,56
2016-02-04,1,0,3,1,0,2,3,91,94,57
2016-02-03,1,0,2,1,0,2,33,74,107,58
2016-02-02,1,0,1,1,0,2,46,78,124,59
2016-02-01,1,0,0,0,0,2,7,105,112,60
2016-01-31,1,0,6,0,0,1,0,64,64,61
2016-01-30,1,0,5,1,0,1,4,77,81,62
2016-01-29,1,0,4,1,0,1,2,66,68,63
2016-01-28,1,0,3,1,0,1,1,85,86,64
2016-01-27,1,0,2,1,0,1,8,45,53,65
2016-01-26,1,0,1,1,0,1,17,63,80,66
2016-01-25,1,0,0,0,0,1,18,142,160,67
2016-01-24,1,0,6,0,0,1,41,165,206,68
2016-01-23,1,0,5,1,0,1,23,162,185,69
2016-01-22,1,0,4,1,0,1,10,139,149,70
2016-01-21,1,0,3,1,0,1,19,138,157,71
2016-01-20,1,0,2,1,0,1,39,88,127,72
2016-01-19,1,0,1,1,0,1,7,24,31,73
2016-01-18,1,1,0,0,0,1,24,122,146,74
2016-01-17,1,0,6,0,0,1,13,148,161,75
2016-01-16,1,0,5,1,0,1,14,110,124,76
2016-01-15,1,0,4,1,0,1,27,128,155,77
2016-01-14,1,0,3,1,0,1,15,124,139,78
2016-01-13,1,0,2,1,0,1,16,59,75,79
2016-01-12,1,0,1,1,0,1,27,44,71,80
2016-01-11,1,0,0,0,0,1,21,125,146,81
2016-01-10,1,0,6,0,0,1,32,152,184,82
2016-01-09,1,0,5,1,0,1,10,90,100,83
2016-01-08,1,0,4,1,0,1,1,46,47,84
2016-01-07,1,0,3,1,0,1,22,93,115,85
2016-01-06,1,0,2,1,0,1,60,93,153,86
2016-01-05,1,0,1,1,0,1,44,54,98,87
2016-01-04,1,0,0,0,0,1,5,122,127,88
2016-01-03,1,0,6,0,0,1,19,137,156,89
2016-01-02,1,0,5,1,0,1,13,140,153,90
2016-01-01,1,1,4,1,0,1,13,109,122,91
2016-04-30,2,0,5,1,0,4,14,98,112,92
2016-04-29,2,0,4,1,0,4,15,48,63,93
2016-04-28,2,0,3,1,0,4,40,68,108,94
