dteday,season,holiday,weekday,workingday,yr,month,casual,registered,cnt,instant
2016-03-31,2,0,3,1,0,3,18,41,59,1
2016-03-30,2,0,2,1,0,3,32,77,109,2
2016-03-29,2,0,1,1,0,3,23,73,96,3
2016-03-28,2,0,0,0,0,3,6,101,107,4
2016-03-27,2,0,6,0,0,3,4,83,87,5
2016-03-26,2,0,5,1,0,3,2,109,111,6
2016-03-25,2,0,4,1,0,3,3,123,126,7
2016-03-24,2,0,3,1,0,3,8,107,115,8
2016-03-23,2,0,2,1,0,3,14,91,105,9
2016-03-22,2,0,1,1,0,3,13,89,102,10
2016-03-21,2,0,0,0,0,3,6,111,117,11
2016-03-20,2,0,6,0,0,3,5,125,130,12
2016-03-19,2,0,5,1,0,3,6,114,120,13
2016-03-18,1,0,4,1,0,3,7,148,155,14
2016-03-17,1,0,3,1,0,3,17,124,141,15
2016-03-16,1,0,2,1,0,3,27,84,111,16
2016-03-15,1,0,1,1,0,3,13,43,56,17
2016-03-14,1,0,0,0,0,3,4,48,52,18
2016-03-13,1,0,6,0,0,3,0,78,78,19
2016-03-12,1,0,5,1,0,3,1,78,79,20
2016-03-11,1,0,4,1,0,3,3,96,99,21
2016-03-10,1,0,3,1,0,3,0,54,54,22
2016-03-09,1,0,2,1,0,3,0,11,11,23
2016-03-08,1,0,1,1,0,3,0,41,41,24
2016-03-07,1,0,0,0,0,3,0,49,49,25
2016-03-06,1,0,6,0,0,3,4,55,59,26
2016-03-05,1,0,5,1,0,3,6,59,65,27
2016-03-04,1,0,4,1,0,3,1,77,78,28
2016-03-03,1,0,3,1,0,3,2,108,110,29
2016-03-02,1,0,2,1,0,3,1,77,78,30
2016-03-01,1,0,1,1,0,3,7,134,141,31
2016-02-29,1,0,0,0,0,2,7,124,131,32
2016-02-28,1,0,6,0,0,2,15,85,100,33
2016-02-27,1,0,5,1,0,2,10,82,92,34
2016-02-26,1,0,4,1,0,2,7,118,125,35
2016-02-25,1,0,3,1,0,2,1,87,88,36
2016-02-24,1,0,2,1,0,2,3,89,92,37
2016-02-23,1,0,1,1,0,2,2,88,90,38
2016-02-22,1,0,0,0,0,2,7,77,84,39
2016-02-21,1,0,6,0,0,2,1,27,28,40
2016-02-20,1,0,5,1,0,2,12,32,44,41
2016-02-19,1,0,4,1,0,2,1,6,7,42
2016-02-18,1,0,3,1,0,2,2,65,67,43
2016-02-17,1,0,2,1,0,2,5,108,113,44
2016-02-16,1,0,1,1,0,2,5,101,106,45
2016-02-15,1,1,0,0,0,2,9,113,122,46
2016-02-14,1,0,6,0,0,2,57,98,155,47
2016-02-13,1,0,5,1,0,2,16,75,91,48
2016-02-12,1,0,4,1,0,2,9,124,133,49
2016-02-11,1,0,3,1,0,2,0,49,49,50
2016-02-10,1,0,2,1,0,2,2,57,59,51
2016-02-09,1,0,1,1,0,2,1,125,126,52
2016-02-08,1,0,0,0,0,2,5,94,99,53
2016-02-07,1,0,6,0,0,2,22,100,122,54
2016-02-06,1,0,5,1,0,2,57,106,163,55
2016-02-05,1,0,4,1,0,2,16,145,161,56
2016-02-04,1,0,3,1,0,2,13,156,169,57
2016-02-03,1,0,2,1,0,2,5,96,101,58
2016-02-02,1,0,1,1,0,2,6,118,124,59
2016-02-01,1,0,0,0,0,2,3,100,103,60
2016-01-31,1,0,6,0,0,1,19,85,104,61
2016-01-30,1,0,5,1,0,1,33,76,109,62
2016-01-29,1,0,4,1,0,1,28,144,172,63
