dteday,season,holiday,weekday,workingday,yr,month,casual,registered,cnt,instant
2016-01-01,1,1,4,1,0,1,44,161,205,1
2016-01-02,1,0,5,1,0,1,53,254,307,2
2016-01-03,1,0,6,0,0,1,45,275,320,3
2016-01-04,1,0,0,0,0,1,22,402,424,4
2016-01-05,1,0,1,1,0,1,5,345,350,5
2016-01-06,1,0,2,1,0,1,18,485,503,6
2016-01-07,1,0,3,1,0,1,18,509,527,7
2016-01-08,1,0,4,1,0,1,21,539,560,8
2016-01-09,1,0,5,1,0,1,29,361,390,9
2016-01-10,1,0,6,0,0,1,15,279,294,10
2016-01-11,1,0,0,0,0,1,15,442,457,11
2016-01-12,1,0,1,1,0,1,12,491,503,12
2016-01-13,1,0,2,1,0,1,9,412,421,13
2016-01-14,1,0,3,1,0,1,10,462,472,14
2016-01-15,1,0,4,1,0,1,20,591,611,15
2016-01-16,1,0,5,1,0,1,41,342,383,16
2016-01-17,1,0,6,0,0,1,22,219,241,17
2016-01-18,1,1,0,0,0,1,11,238,249,18
2016-01-19,1,0,1,1,0,1,6,357,363,19
2016-01-20,1,0,2,1,0,1,4,455,459,20
2016-01-21,1,0,3,1,0,1,7,455,462,21
2016-01-22,1,0,4,1,0,1,7,402,409,22
2016-01-27,1,0,2,1,0,1,2,129,131,23
2016-01-28,1,0,3,1,0,1,3,236,239,24
2016-01-29,1,0,4,1,0,1,8,338,346,25
2016-01-30,1,0,5,1,0,1,18,214,232,26
2016-01-31,1,0,6,0,0,1,23,299,322,27
2016-02-01,1,0,0,0,0,2,10,495,505,28
2016-02-02,1,0,1,1,0,2,15,554,569,29
2016-02-03,1,0,2,1,0,2,3,279,282,30
2016-02-04,1,0,3,1,0,2,13,534,547,31
2016-02-05,1,0,4,1,0,2,3,247,250,32
2016-02-06,1,0,5,1,0,2,27,330,357,33
2016-02-07,1,0,6,0,0,2,31,308,339,34
2016-02-08,1,0,0,0,0,2,4,347,351,35
2016-02-09,1,0,1,1,0,2,11,460,471,36
2016-02-10,1,0,2,1,0,2,5,442,447,37
2016-02-11,1,0,3,1,0,2,3,368,371,38
2016-02-12,1,0,4,1,0,2,7,316,323,39
2016-02-13,1,0,5,1,0,2,4,139,143,40
2016-02-14,1,0,6,0,0,2,4,87,91,41
2016-02-15,1,1,0,0,0,2,2,115,117,42
2016-02-16,1,0,1,1,0,2,5,279,284,43
2016-02-17,1,0,2,1,0,2,9,479,488,44
2016-02-18,1,0,3,1,0,2,15,422,437,45
2016-02-19,1,0,4,1,0,2,12,404,416,46
2016-02-20,1,0,5,1,0,2,87,451,538,47
2016-02-21,1,0,6,0,0,2,56,320,376,48
2016-02-22,1,0,0,0,0,2,31,546,577,49
2016-02-23,1,0,1,1,0,2,10,346,356,50
2016-02-24,1,0,2,1,0,2,2,178,180,51
2016-02-25,1,0,3,1,0,2,10,480,490,52
2016-02-26,1,0,4,1,0,2,21,449,470,53
2016-02-27,1,0,5,1,0,2,40,320,360,54
2016-02-28,1,0,6,0,0,2,107,370,477,55
2016-02-29,1,0,0,0,0,2,22,536,558,56
2016-03-02,1,0,2,1,0,3,31,544,575,57
2016-03-03,1,0,3,1,0,3,16,534,550,58
2016-03-05,1,0,5,1,0,3,22,497,519,59
2016-03-06,1,0,6,0,0,3,9,351,360,60
2016-03-08,1,0,1,1,0,3,41,312,353,61
2016-03-09,1,0,2,1,0,3,41,317,358,62
2016-03-10,1,0,3,1,0,3,40,619,659,63
2016-03-11,1,0,4,1,0,3,39,671,710,64
2016-03-12,1,0,5,1,0,3,65,768,833,65
2016-03-13,1,0,6,0,0,3,65,772,837,66
2016-03-14,1,0,0,0,0,3,71,713,784,67
2016-03-15,1,0,1,1,0,3,178,507,685,68
2016-03-17,1,0,3,1,0,3,125,413,538,69
2016-03-18,1,0,4,1,0,3,11,190,201,70
2016-03-20,2,0,6,0,0,3,53,604,657,71
2016-03-21,2,0,0,0,0,3,63,644,707,72
2016-03-23,2,0,2,1,0,3,49,636,685,73
2016-03-25,2,0,4,1,0,3,56,648,704,74
2016-03-26,2,0,5,1,0,3,75,379,454,75
2016-03-28,2,0,0,0,0,3,38,317,355,76
2016-03-29,2,0,1,1,0,3,31,462,493,77
2016-03-30,2,0,2,1,0,3,50,605,655,78
2016-03-31,2,0,3,1,0,3,77,761,838,79
2016-03-01,1,0,1,1,0,3,61,674,735,80
